# USECODE Dialogue Text Dump
# File: D:\Project\uc\ULTIMA7\STATIC\USECODE
# Generated: 2026-06-16 17:36:28
# Total strings: 11873
# Filter: dialogue-likely only, deduplicated
================================================================================

    1.           -- Iolo Arbalest
    2.           Lord British
    3.           Selwyn
    4.        ONE OF THE BEAST~For the harpsichord.
    5.        SCROLL OF INFINITY~~ artifact TalismanOfInfinity -~ if Reality is Magic -~ if Locale(Artifact) is Void -~ Convex is FindInBritannia(ConvexLens)~ Concave is FindInBritannia(ConcaveLens)~ ~ if DoLightTest(Concave, Convex) -~ TalismanList is BritanniaSearch(Talisman)~ ~~ Counter is 0~ foreach Talisman in TalismanList -~ if KnowType(Talisman) is Truth -~ Counter is Counter and 1~ --~ if KnowType(Talisman) is Love -~ Counter is Counter and 1~ --~ if KnowType(Talisman) is Courage -~ Counter is Counter and 1~ --~ ~ if Counter is 3 -~ DoVoidAccess()~ ~~ InifinityAction is Action(Instance,~ aPlanarTravel, Britannia,~ aCallBack, TalismanOfInfinity)~ --~ if Reality is PseudoScience -~ EvilEntity is EntitySearch(All, Powerful, Evil)~ if EvilEntity -~ Check is PushReality(EvilEntity)~ if not Check -~ Test("Thou shalt never see this!")
    6.        SPRING FIRE~For the xylophone.
    7.        WINDY NIGHT~For the harp.
    8.        ZARA's DANCE~For the lute.
    9.      (This text is a humorous diatribe, and should be taken as nothing more than such. Any of the following activities should only be performed when water is abundant enough to be in surplus. Droughts are serious business, and this work is in no way designed to indicate otherwise.~     -- The editor)~
   10.      --Denyel
   11.      ...Blackrock is an odd substance, only recently discovered. The there seems to be little interest in it, and even less use for it, a small handful of experimenters have noticed it has a profound effect on magic (though these same researches refuse to comment on what, exactly, the material does)...
   12.      ...Consider the actor. He uses dialogue, facial changes, and movement to convey his lines. His actions, called a PERFORMANCE, combined with the playwrite's script, express an emotion or a message. The performance artist uses the very same techniques. The one possible exception is that he is both the writer AND the performer. In fact, the practice of many facets of performance art can better an actor's skill...
   13.      ...Gold is quite rare. Though generally without function, gold has maintained its worth by its very rarity. The refined form is so full of shine that many give it to their lovers as tokens of affection. It is a well-known rumor that one who loves enough to give gold loves enough to remain true.~
   14.      ...One can find lead in a variety of veins. While a common ore, lead is used with such frequency in items such as horse shoes that it is a valuable metal to procure.~
   15.      ...One common misconception is that monks still hold on to the outdated notion that "silence is golden." While this was, perhaps, a tenet they supported as late as 0103, no longer do the monks of the renowned Empath Abbey care to remain speechless...*
   16.      ...Surprising to many is that the Silver-Winged Pharcelot is not the most prevelent bird in Britannia, though arguably the most visible. Far more popular is the Black-Tipped Grackle, but it's predilection for dark, cool areas make is considerable less visible.
   17.      ...The naturalist, Ergan, incorporating Algarth's discovery that the sun rises from the east, theorized that the nightly path of many dark-dwelling nasties could be traced. As the sun moves slowly to the west, Ergan contends, shadows increase in the east, forcing monsters to move that direction to stay out of the sun. Therefore, as denizens of the dark travel from the west, they are more likely to invade households with doors that directly cross their paths... 
   18.      ...There is no doubt that monks love wine. Not only are there more monk stories centering on the creation of wine, but any visit to the Abbey will reveal just how much of the entire building is devoted to the formation the delicious mixture...
   19.      ...While many may remember that Lord British was once but one of eight monarchs (back when the lands were known as Sosaria), few are aware that he is not even a native of our own lovely Britannia. His origin is from another world, one from which he entered ours by way of a red moongate (In fact, it is through this same type of gate that the Avatar of legend purportedly enters Britannia.) As ruler of one of the eight kingdoms, he was instrumental in selecting a champion to face Mondain, Minax, and Exodus.~
   20.      ...a preferred tactic of veterans such as Hillard the Mighty was to center themselves atop their carts and fire missiles unto their foes who were unable to surmount the vehicle.
   21.      ...and after I have acquired the Vas Corp spell, there will be no one to defy me, for all will fear my casting of the spell. Even the loft Lord Brit, himself, will offer his obeisance to me...
   22.      ...and remember, a soldier's best line of active defense is the cannon. After thy comrades have already loaded the cannon, simply aim the cannon at thy target and fire away!
