# USECODE Dialogue Text Dump
# File: D:\Project\uc\SERPENT\STATIC\USECODE
# Generated: 2026-06-16 15:59:44
# Total strings: 16582
# Filter: dialogue-likely only, deduplicated
================================================================================

    1.               the elms?*
    2.              Dupre
    3.       Iolo
    4.      --Denyel
    5.      ...Surprising to many is that the Silver-Winged Pharcelot is not the most prevalent bird in Britannia, though it is arguably the most visible. Far more popular is the Black-Tipped Grackle, but its predilection for dark, cool areas makes it considerably less visible.
    6.      ...While many may remember that Lord British was once but one of eight monarchs (back when the lands were known as Sosaria), few are aware that he is not even a native of our own lovely Britannia. His origin is from another world, one from which he entered ours by way of a red moongate. (In fact, it is through this same type of gate that the Avatar of legend purportedly enters Britannia.) As ruler of one of the eight kingdoms, he was instrumental in selecting a champion to face Mondain, Minax, and Exodus.~
    7.      ...While many may remember that Lord British was once but one of eight monarchs (when the lands were known as Sosaria), few are aware that he is not even a native of our own lovely Britannia. His origin is from another world, one from which he entered ours by way of a red moongate. (In fact, it is through this same type of gate that the Avatar of legend purportedly enters Britannia.) As ruler of one of the eight kingdoms, he was instrumental in selecting a champion to face Mondain, Minax, and Exodus.~
    8.      ...take the bale of wool and spin it on the wheel to make the thread. Once that is done, warp the thread across the loom and begin weaving. Shortly thou wilt have a nice length of cloth from which canst make a variety of useful things. For variation, use different colored threads on the loom to create exciting patterns.
    9.      All that thou hast left to do now is to put the pommel over the tang. It will require hard work to make a fine, sturdy sword, but the finished weapon is well worth it!
   10.      As long as one doth have shears, cloth, and a conscious mind, thou wilt have little fear of bleeding to death on the corpse-littered fields of battle. Simply cut the cloth into strips and bandages. Quickly placing the center of the bandage over the wound, wrap the strip around and around the bleeding area. As the cloth begins to soak with blood, it will combine with the natural healing aspects of the body to staunch the flow of blood and to quicken the healing process. In no time, thou wilt be ready to travel again (though I advise this travel be to the house of a competent healer!).
   11.      Betwixt the covers of this book can be found details on the most prevalent animals that inhabit the lands of Britannia.~~
   12.      Bound here is the comprehensive guide to the avian species, beautifully and colorfully illustrated by many different artists.
   13.      Cantra
   14.      Consider this, dear reader. While thou mightest happen to encounter a wild bear in thy travels, or, even less likely, a troll, thou art doubtless going to be in need of much more mundane equipment.~
